cabang;saldo_baru
PECENONGAN;801873352533500
JATINEGARA;540563867623370
MENTENG;520306704088790
KCU MEGA KUNINGAN D/H KCU DUKUH BAWAH;520107148060230
GAMBIR;422418184930320
MELAWAI RAYA;407448044794380
KCU JAKARTA PUSAT;367365740424790
SENAYAN;329379493109870
TEBET;282726195512140
KRAMAT;206577707004420
TANGERANG;197221365288770
FATMAWATI;171234512983620
PONDOK INDAH;157532456528460
HARMONI;146466119726340
JABABEKA;128647100116780
JAKARTA KOTA;110500177463430
TANJUNG PRIOK;99208432512220
PASAR MAYESTIK;90518250347290
BATAM;82931059818040
RAWAMANGUN;81816720890950
RENON;78256464750680
ROA MALAKA;78239626982860
TANJUNG PERAK;75424992482090
DAAN MOGOT;71250355524170
BANDUNG;70046403637180
JALAN PERINTIS KEMERDEKAAN;65507749092740
BSD;64611262627320
MEDAN;60160444768960
KELAPA GADING;59769165372190
BEKASI;59315077566180
GRAHA PANGERAN SURABAYA;58459217462010
MAKASSAR;49882029706960
DENPASAR;47620316680400
SURABAYA;46997591032340
UI DEPOK;43378462505740
PERGURUAN TINGGI BANDUNG;41189124847850
BALIKPAPAN;40692183507720
PALANGKARAYA;38804963038610
MUSI PALEMBANG;36444704192090
PEKANBARU;35323719804100
HR MUHAMMAD;31453693866690
PONTIANAK;28505173630530
SAMARINDA;28050925880900
BOGOR;26897716804420
MARGONDA;26577853299210
PANTAI INDAH KAPUK;26538689323850
MANADO;26172588100920
BANJARMASIN;25940155628980
TANJUNGKARANG;25420198914810
BONTANG;23404748620030
USU MEDAN;21986401807060
KARAWANG;21821956951290
TEBING TINGGI;21684450186010
GRESIK;21637528210840
PALEMBANG;21577047406330
KUDUS;19805142700600
BANJARBARU;19471342254000
SEMARANG;18839091024100
SERANG;18548867585430
MATTOANGIN;17629029933860
PADANG;17294683930710
SIDOARJO;16767984892490
KAWASAN INDUSTRI MEDAN;16552282491110
KENDAL;16514560051770
UNIVERSITAS DIPONEGORO SEMARANG;15499332744990
KUPANG;15225657751580
MERAUKE;14616443258670
CILEGON;14229330215330
MATARAM;14073906086090
CIBINONG;13941423719020
TEGAL;13778722064610
TERNATE;13242381089200
KARANGAYU;13127866515070
PALU;12309123614650
SINTANG;11918028407270
KOTA BARU PULAU LAUT;11725391866570
JAYAPURA;11486875965780
CIREBON;11466619394680
JAMBI;11269001810210
MOJOKERTO;11210009868790
KENDARI;10652266911100
BITUNG;10120899808120
TANJUNG BALAI KARIMUN;9875100966710
JEPARA;9869848154800
PEMATANGSIANTAR;9736511767890
SUBANG;9678414262080
PEKALONGAN;9604545563750
RENGAT;9566844311470
BARABAI;9410608355130
MAJALAYA;9220128958290
AMBON;9093540131290
PANGKALANBUN;9039991936700
PALOPO;8908456283960
SUMBAWA BESAR;8875698630950
SUKABUMI;8833973933520
DUMAI;8745295385490
METRO;8622571190390
SINGARAJA;8450893034320
KCU PEMEKASAN D/H KCU MADURA;8354023823210
TARAKAN;8305914293850
PARIGI;7998390740510
TANJUNGPINANG;7889333440970
PANGKALPINANG;7771005032910
PATI;7674396166680
MANOKWARI;7515892184950
TIMIKA;7317880070980
SAMPIT;6981649318750
TANJUNG REDEB;6920487893500
ENDE;6715279061780
SORONG;6654458794090
PRABUMULIH;6629129728130
TEMBILAHAN;6623149991600
TASIKMALAYA;6395668211140
PARE-PARE;6210323898040
KUALA KAPUAS;6018583911810
JOMBANG;5986621663020
BENGKULU;5969986090570
BULUKUMBA;5830220075890
KETAPANG;5800889482370
BAU - BAU;5784854210770
PURWAKARTA;5784106980720
MAUMERE;5759854896640
LUBUKLINGGAU;5751983773840
MUARA TEWEH;5739533808470
SUMEDANG;5547220719200
TUBAN;5262527548980
INDRAMAYU;5190799611580
TANJUNG BALAI ASAHAN;5096666304440
KUNINGAN;5094336508260
GARUT;5045970408680
SENGKANG;5035307128740
BUKITTINGGI;5010459554870
RANTAU PRAPAT;4889203447060
GORONTALO;4838452928920
NUNUKAN;4833380190130
BALIGE;4695599219700
KOTAMOBAGU;4618943967010
LAMONGAN;4599861586170
BIMA;4463077792220
SALATIGA;4436728168220
KOTABUMI;4370558071690
BIAK;4312725831520
CIANJUR;4123470256510
TOMOHON;4113974081230
BOJONEGORO;3824579819390
KABANJAHE;3782416074600
BATURAJA;3761537622670
CEPU;3696662529510
SINGKAWANG;3644551668480
PADANG SIDEMPUAN;3550535884080
TANJUNG SELOR;3481626926000
LUWUK;3388061976280
MUARA BUNGO;3358631339390
TOLI - TOLI;3038324448550
BANGKO;2779871278920
SAMBAS;2732418452210
PAYAKUMBUH;2700777484600
SOLOK;2497036255780
SUNGAI PENUH;2385038122670
SIBOLGA;2060336442840
GUNUNG SITOLI;2018333927340
BANJAR;1899560109120
POLEWALI;1765883071080
SELAT PANJANG;1752425485920
MAMUJU;1670055511170
KUALA TUNGKAL;1635504989590
KAYU AGUNG;1306530772660
TAHUNA;1260572727850
UNMAPPED;223693470360
