wilayah;cabang;nama;segment;open_cif;saldo_lama;saldo_baru;selisih
W10;TEBET;PLN INDONESIA POWER;COB2;1997;23397300000000;8716300000000;-14681000000000
W12;PECENONGAN;DITJEN PERBENDAHARAAN DEPKEU RI;INS1;2009;35511800000000;22345200000000;-13166600000000
W01;MEDAN;INTI BENUA PERKASATAMA;COB4;1994;21816300000000;9908800000000;-11907500000000
W12;PECENONGAN;RPL 019 LMAN UNTUK DANA KELOLAAN;INS1;2015;18383500000000;7425490000000;-10958010000000
W10;MENTENG;INDOFOOD CBP SUKSES MAKMUR TBK;COB1;2020;33304100000000;23313000000000;-9991100000000
W15;GAMBIR;PABRIK KERTAS TJIWI KIMIA;COB1;2004;10538700000000;2085270000000;-8453430000000
W15;GAMBIR;KILANG PERTAMINA INTERNASIONAL;COB2;2020;14434700000000;6055080000000;-8379620000000
W10;MENTENG;GLOBAL SEKURITI INDONESIA;ENB1;2022;9564750000000;2378010000000;-7186740000000
W14;PONDOK INDAH;ENI EAST SEPINGGAN;INS2;2016;18494900000000;12262100000000;-6232800000000
W10;KCU MEGA KUNINGAN D/H KCU DUKUH BAWAH;ISTANA KARANG LAUT;ENB1;2025;6284660000000;284659611250;-6000000388750
W10;MENTENG;CIPTAARTA HADIKARA;ENB1;2023;9746150000000;4352910000000;-5393240000000
W12;HARMONI;BATIK AIR INDONESIA;COB3;2012;8268990000000;2901790000000;-5367200000000
W03;PRABUMULIH;BUKIT ASAM;COB2;2005;5427200000000;415161718220;-5012038281780
W15;GAMBIR;LONTAR PAPYRUS PULP DAN PAPER INDUSTRY;COB1;2011;9727570000000;4959530000000;-4768040000000
W10;KCU MEGA KUNINGAN D/H KCU DUKUH BAWAH;GLOBAL ENERGI LESTARI;ENB1;2013;6572040000000;1920790000000;-4651250000000
W12;HARMONI;LION MENTARI;COB3;2006;16727900000000;12086500000000;-4641400000000
W10;SENAYAN;CHANDRA ASRI PACIFIC TBK;COB2;2007;5892690000000;1897800000000;-3994890000000
W14;PONDOK INDAH;ENI MUARA BAKAU;INS2;2012;13254900000000;9568300000000;-3686600000000
W01;MEDAN;WIRA INNO MAS;COB4;2008;3352880000000;30492638860;-3322387361140
W12;PECENONGAN;MENKEU QQ DPPNS;INS2;2004;3161800000000;32752171400;-3129047828600
